

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
062.294  000.132  000.132: require('lualine.utils.mode')
064.248  005.551  003.330: require('abraxas.default.plugins.lualine')
064.914  000.178  000.178: require('telescope._extensions')
064.920  000.456  000.278: require('telescope')
067.061  000.259  000.259: require('plenary.bit')
067.209  000.147  000.147: require('plenary.functional')
067.231  000.014  000.014: require('ffi')
067.240  000.971  000.552: require('plenary.path')
067.255  001.215  000.244: require('plenary.strings')
067.387  000.130  000.130: require('telescope.deprecated')
068.176  000.298  000.298: require('plenary.log')
068.192  000.440  000.142: require('telescope.log')
068.948  000.381  000.381: require('plenary.job')
069.083  000.134  000.134: require('telescope.state')
069.088  000.895  000.380: require('telescope.utils')
069.091  001.703  000.369: require('telescope.sorters')
069.122  000.026  000.026: require('vim.inspect')
070.168  004.477  001.402: require('telescope.config')
070.759  000.259  000.259: require('plenary.window.border')
070.887  000.126  000.126: require('plenary.window')
071.012  000.125  000.125: require('plenary.popup.utils')
071.015  000.820  000.310: require('plenary.popup')
071.181  000.165  000.165: require('telescope.pickers.scroller')
071.324  000.142  000.142: require('telescope.actions.state')
071.494  000.169  000.169: require('telescope.actions.utils')
071.913  000.204  000.204: require('telescope.actions.mt')
071.921  000.426  000.222: require('telescope.actions.set')
072.320  000.206  000.206: require('telescope.config.resolve')
072.322  000.400  000.193: require('telescope.pickers.entry_display')
072.458  000.135  000.135: require('telescope.from_entry')
072.592  007.670  000.937: require('telescope.actions')
073.987  000.535  000.535: require('fzf_lib')
073.993  000.808  000.274: require('telescope._extensions.fzf')
075.668  000.123  000.123: require('plenary.tbl')
075.670  000.285  000.163: require('plenary.vararg.rotate')
075.671  000.392  000.107: require('plenary.vararg')
075.793  000.121  000.121: require('plenary.errors')
075.796  000.683  000.170: require('plenary.async.async')
075.949  000.152  000.152: require('plenary.async.structs')
075.954  001.066  000.231: require('plenary.async.control')
077.037  000.870  000.870: require('telescope.make_entry')
077.774  000.176  000.176: require('plenary.async.util')
077.776  000.310  000.134: require('plenary.async.tests')
077.777  000.591  000.281: require('plenary.async')
077.779  000.741  000.151: require('telescope.finders.async_static_finder')
078.310  000.135  000.135: require('plenary.class')
078.318  000.378  000.243: require('telescope._')
078.319  000.539  000.161: require('telescope.finders.async_oneshot_finder')
078.478  000.157  000.157: require('telescope.finders.async_job_finder')
078.482  002.527  000.220: require('telescope.finders')
079.631  000.212  000.212: require('telescope.debounce')
079.900  000.267  000.267: require('telescope.mappings')
080.093  000.192  000.192: require('telescope.pickers.highlights')
080.235  000.141  000.141: require('telescope.pickers.window')
080.724  000.225  000.225: require('telescope.algos.linked_list')
080.726  000.490  000.265: require('telescope.entry_manager')
080.881  000.154  000.154: require('telescope.pickers.multi')
080.905  002.422  000.966: require('telescope.pickers')
080.927  006.476  000.460: require('telescope.builtin.__lsp')
080.958  006.861  000.385: require('telescope.builtin')
081.158  000.199  000.199: require('telescope.themes')
081.202  016.952  000.958: require('abraxas.default.plugins.telescope')
082.208  000.090  000.090: require('cmp.utils.debug')
082.472  000.126  000.126: require('cmp.utils.char')
082.476  000.267  000.141: require('cmp.utils.str')
082.569  000.092  000.092: require('cmp.utils.pattern')
083.022  000.162  000.162: require('cmp.utils.misc')
083.112  000.089  000.089: require('cmp.utils.buffer')
083.224  000.112  000.112: require('cmp.utils.api')
083.227  000.549  000.186: require('cmp.utils.keymap')
083.229  000.659  000.110: require('cmp.utils.feedkeys')
083.904  000.102  000.102: require('cmp.types.cmp')
084.121  000.216  000.216: require('cmp.types.lsp')
084.212  000.090  000.090: require('cmp.types.vim')
084.213  000.494  000.087: require('cmp.types')
084.215  000.644  000.150: require('cmp.config.mapping')
084.313  000.097  000.097: require('cmp.utils.cache')
084.612  000.178  000.178: require('cmp.config.compare')
084.613  000.298  000.120: require('cmp.config.default')
084.620  001.213  000.173: require('cmp.config')
084.627  001.398  000.185: require('cmp.utils.async')
084.748  000.120  000.120: require('cmp.context')
085.456  000.174  000.174: require('cmp.matcher')
085.461  000.488  000.314: require('cmp.entry')
085.464  000.716  000.228: require('cmp.source')
085.723  000.096  000.096: require('cmp.utils.event')
086.135  000.086  000.086: require('cmp.utils.options')
086.138  000.279  000.193: require('cmp.utils.window')
086.139  000.415  000.136: require('cmp.view.docs_view')
086.518  000.103  000.103: require('cmp.utils.autocmd')
086.558  000.418  000.315: require('cmp.view.custom_entries_view')
086.756  000.197  000.197: require('cmp.view.wildmenu_entries_view')
086.913  000.154  000.154: require('cmp.view.native_entries_view')
087.060  000.146  000.146: require('cmp.view.ghost_text_view')
087.068  001.603  000.177: require('cmp.view')
087.348  005.611  000.667: require('cmp.core')
